aX,aY,aZ,gX,gY,gZ,ts
1.082,0.324,-0.441,-1.343,-23.743,-216.309,0
0.985,0.26,-0.423,-1.953,-21.362,-218.384,0
0.959,0.251,-0.43,0.793,-20.874,-219.543,0
0.837,0.236,-0.398,-1.953,-17.395,-223.389,0
0.758,0.156,-0.372,-10.62,-12.329,-230.225,0
0.72,0.121,-0.404,-16.479,-13.672,-238.403,0
0.603,0.106,-0.367,-23.437,-13.245,-247.681,0
0.553,0.083,-0.355,-32.776,-10.681,-249.451,0
0.444,0.049,-0.34,-43.03,-10.071,-244.202,0
0.386,0.002,-0.307,-54.077,-13.611,-238.647,0
0.388,-0.052,-0.3,-59.692,-18.982,-233.093,0
0.319,-0.091,-0.3,-61.707,-20.63,-232.971,0
0.262,-0.136,-0.327,-61.584,-22.644,-230.408,0
0.18,-0.158,-0.318,-59.937,-24.414,-228.516,1
0.143,-0.213,-0.336,-58.289,-29.114,-224.731,1
0.04,-0.204,-0.327,-60.242,-37.231,-222.107,1
0.094,-0.248,-0.366,-67.2,-54.932,-219.604,1
0.094,-0.236,-0.367,-76.416,-69.031,-223.694,1
0.018,-0.219,-0.36,-83.618,-74.707,-214.966,1
0.064,-0.311,-0.302,-88.257,-80.505,-203.43,1
0.047,-0.34,-0.294,-86.487,-78.613,-203.247,1
-0.022,-0.309,-0.282,-81.299,-69.519,-201.294,1
-0.089,-0.308,-0.277,-77.209,-63.11,-188.843,1
-0.115,-0.323,-0.254,-74.097,-61.218,-171.204,1
-0.143,-0.307,-0.244,-73.181,-63.232,-155.457,1
-0.175,-0.344,-0.232,-75.928,-68.909,-144.226,1
-0.213,-0.317,-0.233,-79.712,-75.256,-137.512,1
-0.234,-0.297,-0.242,-89.844,-81.543,-134.827,1
-0.244,-0.319,-0.225,-105.164,-88.135,-133.85,1
-0.271,-0.322,-0.185,-118.835,-97.168,-129.822,1
-0.307,-0.33,-0.149,-131.165,-105.164,-127.197,1
-0.287,-0.308,-0.106,-140.93,-108.276,-121.46,1
-0.255,-0.358,-0.056,-148.01,-105.896,-109.802,1
-0.326,-0.337,0.001,-151.489,-95.703,-103.699,1
-0.395,-0.336,0.06,-149.414,-84.9,-80.383,1
-0.4,-0.364,0.108,-146.729,-78.43,-52.063,1
-0.405,-0.343,0.147,-142.09,-72.754,-27.1,1
-0.407,-0.326,0.174,-138.794,-66.528,-2.747,1
-0.392,-0.339,0.218,-139.526,-59.998,14.648,1
-0.383,-0.32,0.262,-139.893,-52.917,27.771,1
-0.394,-0.258,0.334,-141.785,-44.556,40.344,1
-0.395,-0.225,0.433,-149.231,-37.598,55.786,1
-0.349,-0.221,0.551,-157.104,-28.381,77.393,1
-0.322,-0.261,0.661,-161.255,-21.301,93.445,1
-0.274,-0.227,0.734,-159.18,-15.137,99.976,1
-0.255,-0.239,0.794,-152.893,-4.578,116.394,1
-0.211,-0.217,0.842,-144.348,1.404,127.747,1
-0.203,-0.152,0.892,-133.728,6.226,144.226,1
-0.166,-0.125,0.974,-125.793,8.301,165.1,1
-0.077,-0.082,1.055,-118.713,5.188,184.814,1
0.01,-0.035,1.12,-112,1.282,199.219,1
0.073,-0.012,1.182,-107.3,-0.183,206.848,1
0.106,0.009,1.223,-102.295,-1.099,211.731,1
0.113,0.023,1.264,-96.497,-4.639,215.759,1
0.147,0.036,1.302,-88.867,-12.085,219.116,1
0.216,0.042,1.351,-78.552,-23.01,222.229,1
0.288,0.063,1.382,-66.345,-33.752,223.938,1
0.362,0.091,1.394,-54.321,-42.236,224.06,1
0.421,0.115,1.408,-44.312,-46.692,224.67,1
0.472,0.123,1.422,-34.79,-47.363,225.769,1
0.493,0.128,1.437,-23.437,-46.265,227.783,1
0.513,0.164,1.425,-11.414,-47.852,230.591,1
0.453,0.063,1.462,-1.648,-51.27,238.586,1
0.744,0.222,1.332,7.141,-57.861,214.294,1
0.5,0.376,1.415,21.057,-42.358,232.91,1
