aX,aY,aZ,gX,gY,gZ,ts
1.121,0.879,0.29,-18.25,23.01,-361.938,0
1.009,0.867,0.284,-22.461,53.04,-379.517,0
0.92,0.779,0.27,-30.396,80.139,-394.897,0
0.802,0.748,0.233,-36.743,100.647,-404.968,0
0.624,0.662,0.245,-42.297,111.572,-400.818,0
0.559,0.561,0.222,-52.124,113.098,-398.743,0
0.525,0.461,0.205,-60.12,111.084,-390.625,0
0.517,0.333,0.174,-69.336,110.596,-384.644,0
0.522,0.254,0.163,-76.66,113.892,-382.08,0
0.524,0.177,0.169,-81.116,122.864,-380.066,0
0.496,0.101,0.19,-85.449,137.024,-384.155,0
0.426,0.038,0.188,-86.609,152.771,-387.512,0
0.34,0.038,0.15,-83.191,166.443,-383.24,0
0.315,0.114,0.073,-81.482,183.716,-355.957,0
0.447,-0.12,0.058,-95.581,204.834,-325.5,0
-0.047,-0.36,0.119,-116.882,224.854,-368.042,0
-0.133,-0.222,0.129,-107.483,206.055,-394.287,0
-0.016,-0.101,0.128,-95.825,173.279,-368.835,0
0.048,-0.184,0.069,-110.107,168.518,-344.971,0
-0.062,-0.372,0.077,-126.953,182.739,-334.351,0
-0.292,-0.477,0.115,-132.996,182.617,-336.121,0
-0.199,-0.453,0.092,-123.291,158.813,-325.806,0
-0.235,-0.429,0.062,-115.967,148.254,-308.167,0
-0.29,-0.446,0.092,-119.629,152.344,-291.443,0
-0.32,-0.512,0.144,-125.244,159.729,-272.766,0
-0.284,-0.553,0.16,-126.465,166.26,-255.798,0
-0.411,-0.605,0.191,-124.817,169.189,-244.141,0
-0.528,-0.578,0.201,-119.263,161.072,-235.046,0
-0.586,-0.649,0.224,-107.422,145.569,-211.731,0
-0.647,-0.617,0.214,-92.041,126.343,-182.129,0
-0.581,-0.821,0.227,-82.703,99.426,-160.767,0
-0.592,-0.755,0.194,-68.909,75.623,-167.175,0
-0.639,-0.546,0.173,-40.405,64.148,-138.672,0
-0.684,-0.495,0.209,-32.532,56.335,-97.961,0
-0.685,-0.698,0.208,-41.321,37.415,-65.979,0
-0.703,-0.736,0.189,-46.265,19.531,-64.209,0
-0.727,-0.755,0.184,-42.603,4.15,-65.308,0
-0.731,-0.689,0.166,-38.452,-17.456,-69.702,0
-0.758,-0.681,0.171,-37.354,-26.611,-48.523,0
-0.788,-0.687,0.193,-41.687,-20.996,-16.968,0
-0.789,-0.722,0.23,-44.189,-7.935,21.912,0
-0.747,-0.752,0.281,-47.668,6.104,55.725,0
-0.782,-0.739,0.297,-46.326,26.428,95.947,0
-1.011,-0.708,0.326,-46.509,42.175,148.315,0
-1.124,-0.781,0.331,-54.443,19.226,203.674,0
-0.954,-0.847,0.192,-53.955,-19.104,258.057,0
-0.811,-0.834,0.01,-47.424,-32.043,309.631,0
-0.773,-0.768,-0.016,-43.884,-32.471,355.896,0
-0.75,-0.79,-0.003,-50.537,-43.518,395.264,0
-0.582,-0.851,0,-57.434,-52.124,427.612,0
-0.262,-0.916,0.061,-61.646,-42.786,456.97,0
0.011,-1.05,0.181,-60.974,-18.982,474.976,0
0.286,-1.319,0.213,-52.49,10.071,476.135,0
0.436,-1.33,0.254,-21.057,51.27,471.375,0
0.562,-1.135,0.239,28.992,103.455,463.989,0
0.559,-0.959,0.279,73.73,153.687,450.928,0
0.411,-0.854,0.256,109.497,179.26,431.885,0
0.406,-0.635,0.122,155.823,175.049,414.062,0
0.473,-0.322,0.005,203.735,157.593,395.386,0
0.416,-0.017,-0.114,234.192,124.573,372.925,0
0.586,0.16,-0.187,242.981,76.111,343.994,0
0.769,0.318,-0.25,236.816,23.56,308.899,0
0.941,0.45,-0.243,214.233,-16.418,267.395,0
1.076,0.536,-0.214,176.147,-42.847,222.778,0
1.184,0.584,-0.224,131.47,-57.617,179.016,0
1.311,0.595,-0.208,83.008,-61.584,137.939,0
1.336,0.566,-0.16,36.621,-55.359,102.539,0
1.348,0.533,-0.14,-1.099,-44.739,74.951,0
1.341,0.438,-0.124,-32.349,-27.161,55.176,0
1.311,0.327,-0.106,-52.612,-5.554,45.532,0
1.253,0.212,-0.086,-62.988,13,40.283,0
1.213,0.124,-0.081,-65.674,26.245,34.302,0
1.168,0.037,-0.084,-61.218,33.264,29.358,0
1.13,-0.037,-0.088,-49.744,33.813,27.71,0
1.11,-0.101,-0.105,-34.668,29.053,27.893,0
1.072,-0.166,-0.112,-17.7,22.217,26.245,0
1.014,-0.198,-0.113,0.427,10.925,21.179,0
0.991,-0.201,-0.12,16.174,-5.188,14.526,0
1.019,-0.183,-0.151,28.442,-20.752,12.817,0
1.064,-0.187,-0.156,37.842,-28.564,18.738,0
1.049,-0.212,-0.141,42.358,-30.579,20.752,0
1.034,-0.187,-0.13,44.617,-31.799,17.029,0
1.061,-0.161,-0.119,45.349,-31.006,14.954,0
1.038,-0.204,-0.116,41.931,-26.917,13.794,0
1.014,-0.228,-0.12,35.889,-20.447,7.141,0
1.034,-0.139,-0.155,33.508,-12.329,3.235,0
0.993,-0.17,-0.152,31.311,-3.174,12.329,0
0.958,-0.179,-0.133,14.648,3.052,-1.099,0
0.935,-0.206,-0.118,11.23,1.831,0.366,0
0.964,-0.206,-0.125,8.789,2.319,3.113,0
0.993,-0.25,-0.131,4.089,7.935,-0.427,0
0.903,-0.239,-0.108,1.404,13.733,-7.935,0
0.859,-0.249,-0.094,1.587,9.277,-9.399,0
0.846,-0.24,-0.107,4.211,-1.404,-5.066,0
0.865,-0.298,-0.112,4.333,-9.338,-4.517,0
0.858,-0.317,-0.107,3.357,-15.32,-14.954,0
0.918,-0.293,-0.131,4.272,-19.47,-26.428,0
1.859,0.663,0.154,-79.895,-66.65,-13.977,0
1.797,0.803,0.217,-69.336,-32.41,-50.781,0
1.733,0.855,0.266,-64.453,-1.465,-89.233,0
1.646,0.889,0.262,-65.063,25.452,-123.901,0
